IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.104	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_1.root	1	0	1	1	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_3.root	1	0	3	3	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_4.root	1	0	4	4	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_6.root	1	0	6	6	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_8.root	1	1	8	10	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_9.root	1	1	9	11	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_10.root	1	1	10	12	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_11.root	1	1	11	13	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_12.root	1	1	12	14	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_13.root	1	1	13	15	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_14.root	1	1	14	16	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.104	apa_1_afe_1_ch_15.root	1	1	15	17	HPK	Apr-21-2024-run00	Apr-21-2024_2231	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
