IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.112	apa_4_afe_0_ch_0.root	4	0	0	0	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2105	Aug-21-2024_2109	Good	-0.044	0.534	1120	44.105	0.050	0.03904	0.382	Good	-0.136	0.869	Only polyfit	2079	240	nan	nan	41.872	0.263
10.73.137.112	apa_4_afe_0_ch_1.root	4	0	1	1	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2109	Aug-21-2024_2113	Good	-0.046	0.467	1120	44.109	0.048	0.03908	0.344	Good	-0.135	0.486	Only polyfit	2104	260	nan	nan	41.849	0.283
10.73.137.112	apa_4_afe_0_ch_2.root	4	0	2	2	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2113	Aug-21-2024_2116	Good	-0.045	0.653	1120	44.115	0.049	0.03903	0.406	Good	-0.136	0.716	Only polyfit	2088	231	nan	nan	41.872	0.254
10.73.137.112	apa_4_afe_0_ch_3.root	4	0	3	3	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2116	Aug-21-2024_2120	Good	-0.047	0.510	1120	44.099	0.046	0.03897	0.454	Good	-0.136	0.505	Only polyfit	2090	169	nan	nan	41.853	0.188
10.73.137.112	apa_4_afe_0_ch_4.root	4	0	4	4	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2120	Aug-21-2024_2124	Good	-0.046	0.600	1120	44.117	0.051	0.03910	0.320	Good	-0.142	0.676	Only polyfit	2017	190	nan	nan	41.949	0.210
10.73.137.112	apa_4_afe_0_ch_5.root	4	0	5	5	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2124	Aug-21-2024_2128	Good	-0.044	0.601	1120	44.103	0.048	0.03899	0.440	Good	-0.135	0.629	Only polyfit	2037	263	nan	nan	41.915	0.287
10.73.137.112	apa_4_afe_0_ch_6.root	4	0	6	6	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2128	Aug-21-2024_2132	Good	-0.045	0.607	1120	44.100	0.049	0.03896	0.460	Good	-0.133	0.582	Only polyfit	2085	193	nan	nan	41.860	0.213
10.73.137.112	apa_4_afe_0_ch_7.root	4	0	7	7	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2132	Aug-21-2024_2135	Good	-0.045	0.536	1120	44.110	0.050	0.03902	0.412	Good	-0.137	0.666	Only polyfit	2034	247	nan	nan	41.925	0.270
10.73.137.112	apa_4_afe_1_ch_8.root	4	1	8	10	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2135	Aug-21-2024_2139	Good	-0.048	0.640	1120	43.961	0.051	0.03902	0.258	Good	-0.137	0.695	Only polyfit	2009	237	nan	nan	41.802	0.260
10.73.137.112	apa_4_afe_1_ch_9.root	4	1	9	11	HPK	Aug-21-2024-run00	Aug-21-2024_2105	Aug-21-2024_2139	Aug-21-2024_2143	Good	-0.048	0.614	1000	39.261	0.070	0.03882	0.442	Good	-0.131	0.563	Only polyfit	481	30	nan	nan	38.744	0.077
