IP,APA,AFE,Config_CH,DAQ_CH,SIPM_type,Run,Bias_conversion_slope,Bias_conversion_intercept,New Vbd(V),New Vbd_error(V),RunFolder,Stringa_DAQch,End,Old Vbd(V),Old Vbd_error(V),Diff Old_New,Coldbox_LN2T Vbd(V),Coldbox_LN2T Vbd_error(V),Diff New_LN2T,Diff Old_LN2T,EndCh,End_AFE
10.73.137.104,1,0,0,0,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03937,1.386,27.511,0.1061,Vbd_best_20241007,IP104_CH00,104,27.4821,0.0998,-0.028900000000000148,26.82,,0.690999999999999,0.6620999999999988,104_00,104_0
10.73.137.104,1,0,1,1,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03925,1.4595,27.6765,0.012,Vbd_best_20241007,IP104_CH01,104,27.6968,0.0616,0.020299999999998875,26.82,,0.8565000000000005,0.8767999999999994,104_01,104_0
10.73.137.104,1,0,2,2,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03939,1.3735,27.536,0.1061,Vbd_best_20241007,IP104_CH02,104,27.492,0.0586,-0.04400000000000048,26.76,,0.7759999999999998,0.7319999999999993,104_02,104_0
10.73.137.104,1,0,3,3,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03937,1.39,27.6455,0.0262,Vbd_best_20241007,IP104_CH03,104,27.6527,0.0693,0.007200000000000983,27.1,,0.545499999999997,0.552699999999998,104_03,104_0
10.73.137.104,1,0,4,4,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03936,1.394,27.4245,0.0544,Vbd_best_20241007,IP104_CH04,104,27.4272,0.0709,0.002700000000000813,27.27,,0.15449999999999875,0.15719999999999956,104_04,104_0
10.73.137.104,1,0,5,5,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03937,1.389,27.5065,0.0474,Vbd_best_20241007,IP104_CH05,104,27.5113,0.0592,0.004799999999999471,26.79,,0.7164999999999999,0.7212999999999994,104_05,104_0
10.73.137.104,1,0,6,6,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03931,1.43,27.501,0.1655,Vbd_best_20241007,IP104_CH06,104,27.4834,0.0822,-0.017600000000001614,26.8,,0.7010000000000005,0.6833999999999989,104_06,104_0
10.73.137.104,1,0,7,7,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03941,1.3635,27.5715,0.0233,Vbd_best_20241007,IP104_CH07,104,27.5786,0.157,0.0071000000000012164,26.75,,0.8215000000000003,0.8286000000000016,104_07,104_0
10.73.137.104,1,1,8,10,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.0385,0.945,27.3205,0.0205,Vbd_best_20241007,IP104_CH10,104,27.4132,0.0665,0.09270000000000067,26.76,,0.5604999999999976,0.6531999999999982,104_10,104_1
10.73.137.104,1,1,9,11,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03843,0.987,27.2775,0.0445,Vbd_best_20241007,IP104_CH11,104,27.4283,0.0777,0.15080000000000027,26.76,,0.5174999999999983,0.6682999999999986,104_11,104_1
10.73.137.104,1,1,10,12,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03847,0.9665,27.372,0.0339,Vbd_best_20241007,IP104_CH12,104,27.3999,0.0563,0.027899999999998926,26.74,,0.6320000000000014,0.6599000000000004,104_12,104_1
10.73.137.104,1,1,11,13,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03851,0.9375,27.306,0.0014,Vbd_best_20241007,IP104_CH13,104,27.4032,0.0558,0.09719999999999729,26.75,,0.5560000000000009,0.6531999999999982,104_13,104_1
10.73.137.104,1,1,12,14,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03847,0.9605,27.242,0.0283,Vbd_best_20241007,IP104_CH14,104,27.3684,0.061,0.1264000000000003,26.85,,0.39199999999999946,0.5183999999999997,104_14,104_1
10.73.137.104,1,1,13,15,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03846,0.9715,27.387,0.0297,Vbd_best_20241007,IP104_CH15,104,27.431,0.0638,0.04400000000000048,26.73,,0.657,0.7010000000000005,104_15,104_1
