IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.109	apa_2_afe_0_ch_0.root	2	0	0	0	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1702	Jul-02-2024_1705	Good	0.017	0.178	720	28.916	0.040	0.03922	0.681	Good	-0.093	0.226	Only polyfit	1306	180	nan	nan	27.513	0.198
10.73.137.109	apa_2_afe_0_ch_1.root	2	0	1	1	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1705	Jul-02-2024_1709	Good	0.017	0.219	720	28.910	0.042	0.03912	0.746	Good	-0.089	0.385	Only polyfit	1395	64	nan	nan	27.411	0.081
10.73.137.109	apa_2_afe_0_ch_2.root	2	0	2	2	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1709	Jul-02-2024_1713	Good	0.017	0.188	720	28.900	0.043	0.03913	0.724	Good	-0.094	0.160	Only polyfit	1084	211	nan	nan	27.736	0.231
10.73.137.109	apa_2_afe_0_ch_3.root	2	0	3	3	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1713	Jul-02-2024_1716	Good	0.016	0.251	720	28.902	0.042	0.03907	0.773	Good	-0.091	0.226	Only polyfit	1293	203	nan	nan	27.513	0.222
10.73.137.109	apa_2_afe_0_ch_4.root	2	0	4	4	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1716	Jul-02-2024_1720	Good	0.016	0.166	720	28.894	0.038	0.03904	0.786	Good	-0.089	0.329	Only polyfit	1228	150	nan	nan	27.575	0.166
10.73.137.109	apa_2_afe_0_ch_5.root	2	0	5	5	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1720	Jul-02-2024_1724	Good	0.016	0.211	720	28.894	0.036	0.03911	0.737	Good	-0.085	0.225	Only polyfit	1392	97	nan	nan	27.399	0.110
10.73.137.109	apa_2_afe_0_ch_6.root	2	0	6	6	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1724	Jul-02-2024_1727	Good	0.016	0.768	710	28.519	0.040	0.03919	0.691	Good	-0.090	0.130	Only polyfit	896	125	nan	nan	27.556	0.140
10.73.137.109	apa_2_afe_0_ch_7.root	2	0	7	7	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1728	Jul-02-2024_1731	Good	0.016	0.219	720	28.902	0.044	0.03912	0.739	Good	-0.087	0.352	Only polyfit	1312	174	nan	nan	27.493	0.192
10.73.137.109	apa_2_afe_1_ch_8.root	2	1	8	10	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1731	Jul-02-2024_1735	BAD(dead channel or wrong bias range)	0.017	0.023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_9.root	2	1	9	11	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_10.root	2	1	10	12	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1735	Jul-02-2024_1739	Good	0.014	0.064	720	28.030	0.026	0.03946	-0.380	Good	-0.084	0.069	Only polyfit	538	36	nan	nan	27.452	0.047
10.73.137.109	apa_2_afe_1_ch_11.root	2	1	11	13	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_12.root	2	1	12	14	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_13.root	2	1	13	15	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1739	Jul-02-2024_1743	Good	0.016	0.071	720	28.033	0.041	0.03957	-0.459	Good	-0.088	0.063	Only polyfit	882	177	nan	nan	27.085	0.194
10.73.137.109	apa_2_afe_1_ch_14.root	2	1	14	16	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_15.root	2	1	15	17	FBK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1808	Jul-02-2024_1812	BAD(dead channel or wrong bias range)	0.017	0.023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_16.root	2	2	16	20	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1812	Jul-02-2024_1815	Good	0.012	4.444	1120	43.988	0.038	0.03918	0.103	Good	-0.083	4.494	Only polyfit	1999	175	nan	nan	41.840	0.192
10.73.137.109	apa_2_afe_2_ch_17.root	2	2	17	21	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1815	Jul-02-2024_1819	Good	0.018	1.075	1120	43.981	0.046	0.03909	0.198	Good	-0.081	1.555	Only polyfit	1913	86	nan	nan	41.925	0.104
10.73.137.109	apa_2_afe_2_ch_18.root	2	2	18	22	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1819	Jul-02-2024_1823	Good	0.013	1.679	1100	43.209	0.061	0.03919	0.098	Good	-0.091	1.307	Only polyfit	1124	190	nan	nan	42.001	0.213
10.73.137.109	apa_2_afe_2_ch_19.root	2	2	19	23	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1823	Jul-02-2024_1827	Good	0.015	0.701	1090	42.810	0.054	0.03909	0.199	Good	-0.095	0.118	Only polyfit	369	9	nan	nan	42.413	0.055
10.73.137.109	apa_2_afe_2_ch_20.root	2	2	20	24	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1827	Jul-02-2024_1830	Good	0.016	0.544	1120	43.976	0.038	0.03908	0.209	Good	-0.097	1.180	Only polyfit	1593	124	nan	nan	42.264	0.139
10.73.137.109	apa_2_afe_2_ch_21.root	2	2	21	25	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1831	Jul-02-2024_1834	Good	0.014	0.524	1120	43.977	0.044	0.03910	0.182	Good	-0.086	1.597	Only polyfit	1845	140	nan	nan	41.995	0.157
10.73.137.109	apa_2_afe_2_ch_22.root	2	2	22	26	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1834	Jul-02-2024_1838	Good	0.012	0.555	1120	43.983	0.045	0.03915	0.130	Good	-0.091	0.928	Only polyfit	1519	98	nan	nan	42.351	0.114
10.73.137.109	apa_2_afe_2_ch_23.root	2	2	23	27	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1838	Jul-02-2024_1842	Good	0.013	0.420	1120	43.977	0.048	0.03911	0.174	Good	-0.095	1.524	Only polyfit	1697	192	nan	nan	42.154	0.212
10.73.137.109	apa_2_afe_3_ch_24.root	2	3	24	30	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1842	Jul-02-2024_1846	Good	0.012	0.627	1120	43.931	0.051	0.03894	0.314	Good	-0.089	1.636	Only polyfit	1859	203	nan	nan	41.934	0.224
10.73.137.109	apa_2_afe_3_ch_25.root	2	3	25	31	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1846	Jul-02-2024_1850	Good	0.014	0.604	1110	43.554	0.043	0.03896	0.304	Good	-0.094	0.237	Only polyfit	842	55	nan	nan	42.649	0.073
10.73.137.109	apa_2_afe_3_ch_26.root	2	3	26	32	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1850	Jul-02-2024_1853	Good	0.012	0.792	1120	43.944	0.045	0.03898	0.287	Good	-0.084	3.212	Only polyfit	2057	86	nan	nan	41.734	0.102
10.73.137.109	apa_2_afe_3_ch_27.root	2	3	27	33	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1853	Jul-02-2024_1857	Good	0.013	0.432	1120	43.943	0.050	0.03897	0.291	Good	-0.089	0.653	Only polyfit	2007	196	nan	nan	41.787	0.216
10.73.137.109	apa_2_afe_3_ch_28.root	2	3	28	34	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1857	Jul-02-2024_1901	Good	0.015	0.483	1120	43.957	0.038	0.03908	0.186	Good	-0.094	0.673	Only polyfit	1418	87	nan	nan	42.433	0.101
10.73.137.109	apa_2_afe_3_ch_29.root	2	3	29	35	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1901	Jul-02-2024_1905	Good	0.016	0.633	1110	43.551	0.038	0.03901	0.255	Good	-0.090	1.425	Only polyfit	1647	126	nan	nan	41.782	0.141
10.73.137.109	apa_2_afe_3_ch_30.root	2	3	30	36	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1905	Jul-02-2024_1909	Good	0.013	0.354	1120	43.931	0.043	0.03890	0.363	Good	-0.091	0.645	Only polyfit	1083	77	nan	nan	42.768	0.094
10.73.137.109	apa_2_afe_3_ch_31.root	2	3	31	37	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1909	Jul-02-2024_1912	Good	0.015	0.875	1090	42.759	0.055	0.03892	0.339	Good	-0.091	0.588	Only polyfit	970	107	nan	nan	41.717	0.128
10.73.137.109	apa_2_afe_4_ch_32.root	2	4	32	40	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1912	Jul-02-2024_1916	Good	0.016	0.449	1090	43.858	0.053	0.03933	0.988	Good	-0.083	0.656	Only polyfit	1994	199	nan	nan	41.715	0.220
10.73.137.109	apa_2_afe_4_ch_33.root	2	4	33	41	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1916	Jul-02-2024_1920	Good	0.015	0.442	1090	43.866	0.058	0.03938	0.941	Good	-0.080	0.625	Only polyfit	2100	253	nan	nan	41.611	0.278
10.73.137.109	apa_2_afe_4_ch_34.root	2	4	34	42	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1920	Jul-02-2024_1924	Good	0.013	0.406	1090	43.877	0.049	0.03937	0.964	Good	-0.092	0.474	Only polyfit	1481	93	nan	nan	42.286	0.111
10.73.137.109	apa_2_afe_4_ch_35.root	2	4	35	43	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1924	Jul-02-2024_1927	Good	0.015	0.288	1090	43.875	0.058	0.03942	0.907	Good	-0.087	0.348	Only polyfit	1736	205	nan	nan	42.011	0.227
10.73.137.109	apa_2_afe_4_ch_36.root	2	4	36	44	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1927	Jul-02-2024_1931	Good	0.014	0.306	1090	43.865	0.059	0.03934	0.985	Good	-0.094	0.543	Only polyfit	1566	99	nan	nan	42.182	0.122
10.73.137.109	apa_2_afe_4_ch_37.root	2	4	37	45	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1931	Jul-02-2024_1935	Good	0.015	0.725	1090	43.864	0.060	0.03937	0.952	Good	-0.084	0.726	Only polyfit	2093	271	nan	nan	41.615	0.298
10.73.137.109	apa_2_afe_4_ch_38.root	2	4	38	46	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1935	Jul-02-2024_1938	Good	0.014	0.409	1090	43.871	0.050	0.03937	0.953	Good	-0.088	0.465	Only polyfit	1697	164	nan	nan	42.048	0.183
10.73.137.109	apa_2_afe_4_ch_39.root	2	4	39	47	HPK	Jul-02-2024-run00	Jul-02-2024_1701	Jul-02-2024_1939	Jul-02-2024_1942	Good	0.014	0.613	1080	43.472	0.058	0.03935	0.979	Good	-0.088	0.725	Only polyfit	1728	211	nan	nan	41.615	0.234
