IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.105	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0926	Jun-07-2024_0930	Good	0.039	0.526	700	27.734	0.054	0.03879	0.584	Good	-0.072	0.520	Only polyfit	364	21	nan	nan	27.342	0.058
10.73.137.105	apa_1_afe_0_ch_1.root	1	0	1	1	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0930	Jun-07-2024_0933	Good	0.039	0.154	720	28.540	0.049	0.03900	0.461	Good	-0.066	0.874	Only polyfit	1197	58	nan	nan	27.254	0.080
10.73.137.105	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0933	Jun-07-2024_0937	Good	0.037	0.507	700	27.743	0.047	0.03892	0.501	Good	-0.066	0.519	Only polyfit	379	19	nan	nan	27.336	0.051
10.73.137.105	apa_1_afe_0_ch_3.root	1	0	3	3	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0937	Jun-07-2024_0941	Good	0.039	0.418	700	27.762	0.044	0.03898	0.475	Good	-0.069	0.488	Only polyfit	381	13	nan	nan	27.353	0.047
10.73.137.105	apa_1_afe_0_ch_4.root	1	0	4	4	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0941	Jun-07-2024_0944	Good	0.039	0.547	700	27.743	0.055	0.03888	0.524	Good	-0.069	0.532	Only polyfit	415	13	nan	nan	27.297	0.057
10.73.137.105	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0944	Jun-07-2024_0948	Good	0.038	0.177	720	28.521	0.049	0.03882	0.568	Good	-0.067	0.250	Only polyfit	1308	45	nan	nan	27.115	0.069
10.73.137.105	apa_1_afe_0_ch_6.root	1	0	6	6	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0948	Jun-07-2024_0952	Good	0.034	0.443	700	27.745	0.038	0.03882	0.569	Good	-0.069	0.071	Only polyfit	302	92	nan	nan	27.420	0.106
10.73.137.105	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0952	Jun-07-2024_0955	Good	0.037	0.503	700	27.752	0.050	0.03895	0.490	Good	-0.077	0.507	Only polyfit	390	12	nan	nan	27.333	0.052
10.73.137.105	apa_1_afe_1_ch_8.root	1	1	8	10	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0955	Jun-07-2024_0959	Good	0.037	0.174	720	28.674	0.044	0.03868	0.821	Good	-0.071	1.432	Only polyfit	1075	77	nan	nan	27.519	0.094
10.73.137.105	apa_1_afe_1_ch_10.root	1	1	10	12	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_0959	Jun-07-2024_1002	Good	0.038	0.157	720	28.680	0.028	0.03868	0.829	Good	-0.068	0.162	Only polyfit	1152	173	nan	nan	27.442	0.188
10.73.137.105	apa_1_afe_1_ch_13.root	1	1	13	15	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1003	Jun-07-2024_1006	Good	0.041	0.165	720	28.678	0.031	0.03870	0.811	Good	-0.069	0.284	Only polyfit	1191	240	nan	nan	27.398	0.259
10.73.137.105	apa_1_afe_1_ch_15.root	1	1	15	17	FBK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1006	Jun-07-2024_1010	Good	0.037	0.163	720	28.681	0.029	0.03874	0.789	Good	-0.069	0.227	Only polyfit	1261	119	nan	nan	27.326	0.131
10.73.137.105	apa_1_afe_2_ch_17.root	1	2	17	21	HPK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1010	Jun-07-2024_1014	Good	0.039	0.684	1120	43.740	0.044	0.03876	0.327	Good	-0.067	0.623	Only polyfit	1607	168	nan	nan	42.013	0.186
10.73.137.105	apa_1_afe_2_ch_19.root	1	2	19	23	HPK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1014	Jun-07-2024_1017	Good	0.036	0.479	1120	43.737	0.043	0.03872	0.369	Good	-0.063	2.751	Only polyfit	1336	41	nan	nan	42.302	0.062
10.73.137.105	apa_1_afe_2_ch_20.root	1	2	20	24	HPK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1017	Jun-07-2024_1021	Good	0.037	1.364	1090	42.576	0.046	0.03876	0.328	Good	-0.072	1.412	Only polyfit	288	29	nan	nan	42.266	0.056
10.73.137.105	apa_1_afe_2_ch_22.root	1	2	22	26	HPK	Jun-07-2024-run00	Jun-07-2024_0926	Jun-07-2024_1021	Jun-07-2024_1025	Good	0.036	0.465	1120	43.743	0.037	0.03874	0.358	Good	-0.065	0.512	Only polyfit	1598	201	nan	nan	42.026	0.219
