IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.105	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0938	May-02-2024_0942	Good	0.041	0.199	720	28.512	0.047	0.03890	0.501	Good	-0.063	0.209	Only polyfit	1101	84	nan	nan	27.329	0.101
10.73.137.105	apa_1_afe_0_ch_1.root	1	0	1	1	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0942	May-02-2024_0946	Good	0.038	0.194	720	28.519	0.042	0.03891	0.506	Good	-0.063	0.188	Only polyfit	1093	138	nan	nan	27.344	0.154
10.73.137.105	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0946	May-02-2024_0949	Good	0.039	0.211	720	28.513	0.050	0.03884	0.546	Good	-0.064	0.217	Only polyfit	1045	135	nan	nan	27.390	0.153
10.73.137.105	apa_1_afe_0_ch_3.root	1	0	3	3	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0949	May-02-2024_0953	Good	0.036	0.193	720	28.538	0.036	0.03904	0.431	Good	-0.065	0.220	Only polyfit	1058	85	nan	nan	27.401	0.098
10.73.137.105	apa_1_afe_0_ch_4.root	1	0	4	4	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0953	May-02-2024_0957	Good	0.036	0.227	720	28.508	0.038	0.03881	0.565	Good	-0.066	0.220	Only polyfit	1110	75	nan	nan	27.316	0.089
10.73.137.105	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_0957	May-02-2024_1000	Good	0.039	0.229	720	28.519	0.051	0.03888	0.528	Good	-0.065	0.221	Only polyfit	1031	118	nan	nan	27.412	0.137
10.73.137.105	apa_1_afe_0_ch_6.root	1	0	6	6	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1000	May-02-2024_1004	Good	0.037	0.212	720	28.516	0.037	0.03884	0.551	Good	-0.071	0.225	Only polyfit	1007	99	nan	nan	27.434	0.113
10.73.137.105	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1004	May-02-2024_1008	Good	0.037	0.203	720	28.515	0.043	0.03888	0.524	Good	-0.071	0.194	Only polyfit	1024	132	nan	nan	27.414	0.148
10.73.137.105	apa_1_afe_1_ch_8.root	1	1	8	10	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1008	May-02-2024_1011	Good	0.038	0.188	720	28.679	0.034	0.03875	0.777	Good	-0.069	0.206	Only polyfit	1239	258	nan	nan	27.348	0.280
10.73.137.105	apa_1_afe_1_ch_10.root	1	1	10	12	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1012	May-02-2024_1015	Good	0.037	0.241	720	28.680	0.033	0.03874	0.785	Good	-0.067	0.226	Only polyfit	1194	112	nan	nan	27.397	0.125
10.73.137.105	apa_1_afe_1_ch_13.root	1	1	13	15	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1015	May-02-2024_1019	Good	0.037	0.227	720	28.671	0.034	0.03864	0.847	Good	-0.065	0.265	Only polyfit	1288	206	nan	nan	27.288	0.224
10.73.137.105	apa_1_afe_1_ch_15.root	1	1	15	17	FBK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1019	May-02-2024_1022	Good	0.037	0.243	720	28.670	0.030	0.03875	0.774	Good	-0.068	0.244	Only polyfit	1251	122	nan	nan	27.326	0.135
10.73.137.105	apa_1_afe_2_ch_17.root	1	2	17	21	HPK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1022	May-02-2024_1026	Good	0.037	0.693	1120	43.738	0.043	0.03876	0.330	Good	-0.060	0.717	Only polyfit	1613	182	nan	nan	42.005	0.200
10.73.137.105	apa_1_afe_2_ch_19.root	1	2	19	23	HPK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1026	May-02-2024_1030	Good	0.037	0.680	1120	43.738	0.040	0.03877	0.311	Good	-0.063	0.852	Only polyfit	1558	167	nan	nan	42.064	0.184
10.73.137.105	apa_1_afe_2_ch_20.root	1	2	20	24	HPK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1030	May-02-2024_1034	Good	0.038	0.612	1120	43.733	0.046	0.03872	0.372	Good	-0.063	0.631	Only polyfit	1570	142	nan	nan	42.046	0.160
10.73.137.105	apa_1_afe_2_ch_22.root	1	2	22	26	HPK	May-02-2024-run00	May-02-2024_0938	May-02-2024_1034	May-02-2024_1038	Good	0.036	0.669	1120	43.731	0.042	0.03871	0.371	Good	-0.065	0.664	Only polyfit	1568	173	nan	nan	42.046	0.190
