IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.109	apa_2_afe_0_ch_0.root	2	0	0	0	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2154	May-09-2024_2157	Good	0.015	0.232	720	28.944	0.042	0.03903	0.840	Good	-0.089	0.205	Only polyfit	1450	229	nan	nan	27.386	0.249
10.73.137.109	apa_2_afe_0_ch_1.root	2	0	1	1	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2157	May-09-2024_2201	Good	0.018	0.379	720	28.953	0.040	0.03915	0.763	Good	-0.087	0.314	Only polyfit	1469	256	nan	nan	27.374	0.278
10.73.137.109	apa_2_afe_0_ch_2.root	2	0	2	2	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2201	May-09-2024_2205	Good	0.016	0.194	720	28.942	0.044	0.03902	0.846	Good	-0.089	0.232	Only polyfit	1223	104	nan	nan	27.628	0.120
10.73.137.109	apa_2_afe_0_ch_3.root	2	0	3	3	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2205	May-09-2024_2208	Good	0.016	0.292	720	28.946	0.036	0.03915	0.755	Good	-0.089	0.282	Only polyfit	1433	89	nan	nan	27.406	0.103
10.73.137.109	apa_2_afe_0_ch_4.root	2	0	4	4	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2208	May-09-2024_2212	Good	0.017	0.206	720	28.943	0.042	0.03909	0.799	Good	-0.086	0.246	Only polyfit	1322	141	nan	nan	27.523	0.157
10.73.137.109	apa_2_afe_0_ch_5.root	2	0	5	5	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2212	May-09-2024_2216	Good	0.017	0.317	720	28.949	0.044	0.03910	0.799	Good	-0.082	0.349	Only polyfit	1470	138	nan	nan	27.370	0.155
10.73.137.109	apa_2_afe_0_ch_6.root	2	0	6	6	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2216	May-09-2024_2219	Good	0.016	0.208	720	28.959	0.035	0.03918	0.746	Good	-0.087	0.202	Only polyfit	1251	154	nan	nan	27.614	0.169
10.73.137.109	apa_2_afe_0_ch_7.root	2	0	7	7	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2219	May-09-2024_2223	Good	0.014	0.322	720	28.956	0.044	0.03917	0.757	Good	-0.088	0.314	Only polyfit	1457	220	nan	nan	27.390	0.240
10.73.137.109	apa_2_afe_1_ch_8.root	2	1	8	10	FBK	May-09-2024-run00	May-09-2024_2153	May-09-2024_2223	May-09-2024_2227	BAD(dead channel or wrong bias range)	0.018	0.026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_9.root	2	1	9	11	FBK	May-09-2024-run00	May-09-2024_2153	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
