IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.111	apa_3_afe_0_ch_0.root	3	0	0	0	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_1946	May-17-2024_1949	Good	0.000	0.138	720	28.621	0.041	0.03928	0.338	Good	-0.100	0.120	Only polyfit	1161	229	nan	nan	27.373	0.249
10.73.137.111	apa_3_afe_0_ch_1.root	3	0	1	1	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_1949	May-17-2024_1953	Good	-0.001	0.372	770	30.579	0.034	0.03923	0.373	Good	-0.084	0.382	Only polyfit	2754	1560	nan	nan	27.620	1.677
10.73.137.111	apa_3_afe_0_ch_2.root	3	0	2	2	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_1953	May-17-2024_1957	Good	-0.001	0.110	720	28.615	0.048	0.03925	0.353	Good	-0.106	0.114	Only polyfit	1043	80	nan	nan	27.495	0.099
10.73.137.111	apa_3_afe_0_ch_3.root	3	0	3	3	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_1957	May-17-2024_2001	Good	-0.003	0.373	770	30.581	0.032	0.03925	0.361	Good	-0.090	0.422	Only polyfit	2901	473	nan	nan	27.464	0.509
10.73.137.111	apa_3_afe_0_ch_4.root	3	0	4	4	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2001	May-17-2024_2004	Good	-0.002	0.480	770	30.587	0.029	0.03929	0.335	Good	-0.090	0.420	Only polyfit	2852	788	nan	nan	27.523	0.847
10.73.137.111	apa_3_afe_0_ch_5.root	3	0	5	5	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2004	May-17-2024_2008	Good	-0.003	0.552	770	30.580	0.033	0.03927	0.342	Good	-0.083	0.644	Only polyfit	2933	379	nan	nan	27.429	0.408
10.73.137.111	apa_3_afe_0_ch_6.root	3	0	6	6	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2008	May-17-2024_2012	Good	-0.000	0.297	770	30.581	0.030	0.03928	0.339	Good	-0.088	0.410	Only polyfit	2666	293	nan	nan	27.716	0.316
10.73.137.111	apa_3_afe_0_ch_7.root	3	0	7	7	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2012	May-17-2024_2016	Good	-0.002	0.139	720	28.610	0.038	0.03917	0.404	Good	-0.102	0.142	Only polyfit	1098	211	nan	nan	27.431	0.229
10.73.137.111	apa_3_afe_1_ch_8.root	3	1	8	10	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2016	May-17-2024_2019	Good	-0.003	0.089	720	28.499	0.037	0.03898	0.431	Good	-0.104	0.105	Only polyfit	1114	105	nan	nan	27.302	0.119
10.73.137.111	apa_3_afe_1_ch_9.root	3	1	9	11	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2019	May-17-2024_2023	Good	-0.002	0.120	720	28.493	0.040	0.03892	0.472	Good	-0.103	0.110	Only polyfit	1026	105	nan	nan	27.390	0.120
10.73.137.111	apa_3_afe_1_ch_10.root	3	1	10	12	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2023	May-17-2024_2027	Good	-0.003	0.113	720	28.497	0.044	0.03899	0.423	Good	-0.104	0.116	Only polyfit	940	90	nan	nan	27.488	0.106
10.73.137.111	apa_3_afe_1_ch_11.root	3	1	11	13	FBK	May-17-2024_run00	May-17-2024_1945	May-17-2024_2027	May-17-2024_2030	Good	-0.002	0.092	720	28.491	0.043	0.03896	0.438	Good	-0.101	0.088	Only polyfit	810	137	nan	nan	27.620	0.154
