IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.112	apa_4_afe_0_ch_0.root	4	0	0	0	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1522	Oct-04-2024_1526	Good	-0.045	0.654	1120	44.111	0.060	0.03901	0.421	Good	-0.145	0.649	Only polyfit	2066	187	nan	nan	41.891	0.209
10.73.137.112	apa_4_afe_0_ch_1.root	4	0	1	1	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1526	Oct-04-2024_1529	Good	-0.045	0.616	1120	44.112	0.059	0.03900	0.431	Good	-0.141	0.498	Only polyfit	2107	243	nan	nan	41.847	0.268
10.73.137.112	apa_4_afe_0_ch_2.root	4	0	2	2	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1529	Oct-04-2024_1533	Good	-0.046	0.613	1110	43.722	0.057	0.03901	0.420	Good	-0.151	0.586	Only polyfit	1660	166	nan	nan	41.938	0.187
10.73.137.112	apa_4_afe_0_ch_3.root	4	0	3	3	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1533	Oct-04-2024_1537	Good	-0.046	0.523	1120	44.115	0.049	0.03904	0.395	Good	-0.141	0.665	Only polyfit	2109	193	nan	nan	41.850	0.213
10.73.137.112	apa_4_afe_0_ch_4.root	4	0	4	4	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1537	Oct-04-2024_1541	Good	-0.047	0.591	1120	44.118	0.059	0.03902	0.417	Good	-0.150	0.682	Only polyfit	2017	138	nan	nan	41.952	0.160
10.73.137.112	apa_4_afe_0_ch_5.root	4	0	5	5	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1541	Oct-04-2024_1545	Good	-0.046	0.535	1120	44.115	0.045	0.03901	0.418	Good	-0.143	0.599	Only polyfit	2061	265	nan	nan	41.901	0.289
10.73.137.112	apa_4_afe_0_ch_6.root	4	0	6	6	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1545	Oct-04-2024_1548	Good	-0.045	0.573	1120	44.103	0.045	0.03898	0.450	Good	-0.142	0.615	Only polyfit	2081	138	nan	nan	41.867	0.155
10.73.137.112	apa_4_afe_0_ch_7.root	4	0	7	7	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1549	Oct-04-2024_1552	Good	-0.045	0.606	1120	44.099	0.061	0.03892	0.503	Good	-0.142	0.781	Only polyfit	2087	389	nan	nan	41.857	0.423
10.73.137.112	apa_4_afe_1_ch_8.root	4	1	8	10	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1552	Oct-04-2024_1556	Good	-0.048	0.791	1120	43.963	0.047	0.03906	0.220	Good	-0.142	0.677	Only polyfit	1995	241	nan	nan	41.819	0.264
10.73.137.112	apa_4_afe_1_ch_9.root	4	1	9	11	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1556	Oct-04-2024_1600	Good	-0.047	1.058	1010	39.662	0.079	0.03898	0.294	Good	-0.133	1.045	Only polyfit	966	60	nan	nan	38.623	0.102
10.73.137.112	apa_4_afe_1_ch_10.root	4	1	10	12	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1600	Oct-04-2024_1603	Good	-0.050	0.621	1120	43.961	0.054	0.03905	0.230	Good	-0.148	0.680	Only polyfit	1906	293	nan	nan	41.913	0.320
10.73.137.112	apa_4_afe_1_ch_11.root	4	1	11	13	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1603	Oct-04-2024_1607	Good	-0.046	0.407	1120	43.965	0.040	0.03904	0.235	Good	-0.151	0.442	Only polyfit	1665	269	nan	nan	42.176	0.292
10.73.137.112	apa_4_afe_1_ch_12.root	4	1	12	14	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.112	apa_4_afe_1_ch_13.root	4	1	13	15	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1607	Oct-04-2024_1611	Good	-0.045	0.540	1120	43.959	0.050	0.03905	0.224	Good	-0.149	0.521	Only polyfit	1834	120	nan	nan	41.989	0.139
10.73.137.112	apa_4_afe_1_ch_14.root	4	1	14	16	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1611	Oct-04-2024_1615	Good	-0.045	0.456	1120	43.964	0.053	0.03907	0.205	Good	-0.151	0.476	Only polyfit	1655	151	nan	nan	42.185	0.171
10.73.137.112	apa_4_afe_1_ch_15.root	4	1	15	17	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1615	Oct-04-2024_1619	Good	-0.050	0.561	1120	43.963	0.044	0.03907	0.199	Good	-0.142	0.463	Only polyfit	1838	187	nan	nan	41.987	0.206
10.73.137.112	apa_4_afe_2_ch_16.root	4	2	16	20	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1619	Oct-04-2024_1622	Good	-0.045	0.375	1090	43.528	0.053	0.03915	0.859	Good	-0.151	0.407	Only polyfit	1542	177	nan	nan	41.871	0.197
10.73.137.112	apa_4_afe_2_ch_17.root	4	2	17	21	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1622	Oct-04-2024_1626	Good	-0.052	0.278	1090	43.518	0.061	0.03909	0.910	Good	-0.152	0.283	Only polyfit	1437	100	nan	nan	41.974	0.124
10.73.137.112	apa_4_afe_2_ch_18.root	4	2	18	22	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1626	Oct-04-2024_1630	Good	-0.043	0.842	1030	41.183	0.077	0.03908	0.930	Good	-0.153	0.892	Only polyfit	560	52	nan	nan	40.582	0.095
10.73.137.112	apa_4_afe_2_ch_19.root	4	2	19	23	HPK	Oct-04-2024-run00	Oct-04-2024_1522	Oct-04-2024_1630	Oct-04-2024_1634	Good	-0.050	0.607	1120	44.692	0.046	0.03907	0.939	Good	-0.139	0.669	Only polyfit	2590	338	nan	nan	41.909	0.366
