IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.104	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1757	Sep-24-2024_1801	Good	0.079	0.407	720	29.735	0.047	0.03936	1.396	Good	-0.017	0.636	Only polyfit	2000	252	nan	nan	27.586	0.275
10.73.137.104	apa_1_afe_0_ch_1.root	1	0	1	1	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1801	Sep-24-2024_1804	Good	0.081	0.444	690	28.546	0.060	0.03921	1.491	Good	-0.034	0.170	Only polyfit	817	64	nan	nan	27.668	0.091
10.73.137.104	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1804	Sep-24-2024_1808	Good	0.081	0.361	720	29.747	0.045	0.03944	1.352	Good	-0.016	0.725	Only polyfit	1988	474	nan	nan	27.611	0.511
10.73.137.104	apa_1_afe_0_ch_3.root	1	0	3	3	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1808	Sep-24-2024_1812	Good	0.081	0.386	720	29.744	0.051	0.03935	1.409	Good	-0.022	0.585	Only polyfit	1970	179	nan	nan	27.627	0.199
10.73.137.104	apa_1_afe_0_ch_4.root	1	0	4	4	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1812	Sep-24-2024_1815	Good	0.080	0.439	720	29.740	0.057	0.03936	1.401	Good	-0.017	0.796	Only polyfit	2191	485	nan	nan	27.386	0.524
10.73.137.104	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1816	Sep-24-2024_1819	Good	0.081	0.407	720	29.734	0.029	0.03939	1.377	Good	-0.019	0.369	Only polyfit	2042	153	nan	nan	27.540	0.167
10.73.137.104	apa_1_afe_0_ch_6.root	1	0	6	6	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1819	Sep-24-2024_1823	Good	0.080	0.423	720	29.748	0.048	0.03935	1.419	Good	-0.018	0.697	Only polyfit	2201	134	nan	nan	27.384	0.152
10.73.137.104	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1823	Sep-24-2024_1827	Good	0.082	0.304	720	29.744	0.044	0.03933	1.425	Good	-0.019	0.504	Only polyfit	2006	223	nan	nan	27.588	0.243
10.73.137.104	apa_1_afe_1_ch_8.root	1	1	8	10	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1827	Sep-24-2024_1830	Good	0.081	0.237	720	28.679	0.036	0.03859	0.896	Good	-0.031	0.258	Only polyfit	1278	137	nan	nan	27.306	0.152
10.73.137.104	apa_1_afe_1_ch_9.root	1	1	9	11	FBK	Sep-24-2024-run00	Sep-24-2024_1757	Sep-24-2024_1830	Sep-24-2024_1834	Good	0.081	0.261	720	28.661	0.044	0.03838	1.027	Good	-0.034	0.293	Only polyfit	1259	157	nan	nan	27.309	0.175
