IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.111	3	0	0	0	FBK	[Vbd_LN2T_corrected]	0.03929	0.33345	27.3676	0.0000
10.73.137.111	3	0	1	1	FBK	[Vbd_LN2T_corrected]	0.03922	0.37400	27.4986	0.0000
10.73.137.111	3	0	2	2	FBK	[Vbd_LN2T_corrected]	0.03931	0.32009	27.4494	0.0000
10.73.137.111	3	0	3	3	FBK	[Vbd_LN2T_corrected]	0.03927	0.34818	27.4962	0.0000
10.73.137.111	3	0	4	4	FBK	[Vbd_LN2T_corrected]	0.03928	0.33945	27.5938	0.0000
10.73.137.111	3	0	5	5	FBK	[Vbd_LN2T_corrected]	0.03927	0.34436	27.4736	0.0000
10.73.137.111	3	0	6	6	FBK	[Vbd_LN2T_corrected]	0.03928	0.33809	27.5268	0.0000
10.73.137.111	3	0	7	7	FBK	[Vbd_LN2T_corrected]	0.03928	0.33973	27.4546	0.0000
10.73.137.111	3	1	8	10	FBK	[Vbd_LN2T_corrected]	0.03896	0.43755	27.3133	0.0000
10.73.137.111	3	1	9	11	FBK	[Vbd_LN2T_corrected]	0.03898	0.42864	27.4348	0.0000
10.73.137.111	3	1	10	12	FBK	[Vbd_LN2T_corrected]	0.03899	0.42336	27.4055	0.0000
10.73.137.111	3	1	11	13	FBK	[Vbd_LN2T_corrected]	0.03898	0.42827	27.5791	0.0000
10.73.137.111	3	1	12	14	FBK	[Vbd_LN2T_corrected]	0.03896	0.44300	27.4440	0.0000
10.73.137.111	3	1	13	15	FBK	[Vbd_LN2T_corrected]	0.03895	0.44436	27.3600	0.0000
10.73.137.111	3	1	14	16	FBK	[Vbd_LN2T_corrected]	0.03900	0.41791	27.5590	0.0000
10.73.137.111	3	1	15	17	FBK	[Vbd_LN2T_corrected]	0.03900	0.41827	27.2754	0.0000
10.73.137.111	3	2	16	20	FBK	[Vbd_LN2T_corrected]	0.03932	0.79500	27.3018	0.0000
10.73.137.111	3	2	17	21	FBK	[Vbd_LN2T_corrected]	0.03933	0.79009	27.2910	0.0000
10.73.137.111	3	2	18	22	FBK	[Vbd_LN2T_corrected]	0.03929	0.81091	27.3325	0.0000
10.73.137.111	3	2	19	23	FBK	[Vbd_LN2T_corrected]	0.03931	0.80073	27.8911	0.0000
10.73.137.111	3	2	20	24	FBK	[Vbd_LN2T_corrected]	0.03933	0.79000	27.9411	0.0000
10.73.137.111	3	2	21	25	FBK	[Vbd_LN2T_corrected]	0.03929	0.81436	27.3219	0.0000
10.73.137.111	3	2	22	26	FBK	[Vbd_LN2T_corrected]	0.03931	0.79873	28.3911	0.0000
10.73.137.111	3	2	23	27	FBK	[Vbd_LN2T_corrected]	0.03928	0.81636	27.3767	0.0000
10.73.137.111	3	3	24	30	HPK	[Vbd_LN2T_corrected]	0.03918	-0.20836	41.6534	0.0000
10.73.137.111	3	3	25	31	HPK	[Vbd_LN2T_corrected]	0.03917	-0.19682	42.2698	0.0000
10.73.137.111	3	3	26	32	HPK	[Vbd_LN2T_corrected]	0.03915	-0.17827	42.8498	0.0000
10.73.137.111	3	3	27	33	HPK	[Vbd_LN2T_corrected]	0.03918	-0.20545	42.2198	0.0000
10.73.137.111	3	3	28	34	HPK	[Vbd_LN2T_corrected]	0.03916	-0.19318	42.1298	0.0000
10.73.137.111	3	3	29	35	HPK	[Vbd_LN2T_corrected]	0.03917	-0.19282	41.9298	0.0000
10.73.137.111	3	3	30	36	HPK	[Vbd_LN2T_corrected]	0.03916	-0.18173	42.1398	0.0000
10.73.137.111	3	3	31	37	HPK	[Vbd_LN2T_corrected]	0.03916	-0.18810	42.8598	0.0000
10.73.137.111	3	4	32	40	HPK	[Vbd_LN2T_corrected]	0.03925	0.06220	41.8498	0.0000
10.73.137.111	3	4	33	41	HPK	[Vbd_LN2T_corrected]	0.03922	0.08482	42.7816	0.0000
10.73.137.111	3	4	34	42	HPK	[Vbd_LN2T_corrected]	0.03922	0.08500	42.2898	0.0000
10.73.137.111	3	4	35	43	HPK	[Vbd_LN2T_corrected]	0.03923	0.07618	42.8277	0.0000
10.73.137.111	3	4	36	44	HPK	[Vbd_LN2T_corrected]	0.03924	0.06809	42.7810	0.0000
10.73.137.111	3	4	37	45	HPK	[Vbd_LN2T_corrected]	0.03923	0.07245	42.6398	0.0000
10.73.137.111	3	4	38	46	HPK	[Vbd_LN2T_corrected]	0.03925	0.06009	42.7578	0.0000
10.73.137.111	3	4	39	47	HPK	[Vbd_LN2T_corrected]	0.03925	0.05482	42.6498	0.0000
